MUNICIPIO,UF,SUBSTANCIA,latitude,longitude
Batalha,AL,Mármore,-9.650,-37.100
Campo Grande,AL,Asbesto,-9.975,-36.775
Girau do Ponciano,AL,Asbesto,-9.828,-36.892
Traipu,AL,Quartzo,-9.750,-36.917
Minador do Negrão,AL,Mármore,-9.351,-36.831
Estrela de Alagoas,AL,Salgema,-9.388,-36.719
Estrela de Alagoas,AL,Salgema,-9.377,-36.715
Igaci,AL,Mármore,-9.503,-36.588
Paulo Jacinto,AL,Mármore,-9.408,-36.429
Alagoinha,PE,Granito,-8.448,-36.721
Quartel Geral,MG,Fósforo,-19.308,-45.806
Serra da Saudade,MG,Fósforo,-19.297,-45.776
Serra da Saudade,MG,Fósforo,-19.314,-45.788
Queimadas,BA,"Fósforo, Vermiculita",-11.245,-39.941
Ouro Branco,AL,Granito,-9.164,-37.340
Ipirá,BA,"Fósforo, Vermiculita",-11.939,-39.707
Itambé,BA,Fósforo,-15.192,-40.564
Porto da Folha,SE,Cobre,-9.867,-37.306
Arapiraca,AL,Granito,-9.678,-36.644
Limoeiro de Anadia,AL,"Berílio, Feldspato, Muscovita, Quartzo, Água marinha",-9.705,-36.552
Limoeiro de Anadia,AL,"Feldspato, Quartzo, Vermiculita",-9.703,-36.551
Limoeiro de Anadia,AL,Quartzo,-9.717,-36.546
Girau do Ponciano,AL,Mármore,-9.803,-36.839
Traipu,AL,Mármore,-9.809,-36.910
Campo Grande,AL,Ferro,-9.948,-36.786
Paulo Jacinto,AL,Mármore,-9.405,-36.403
Paulo Jacinto,AL,Mármore,-9.405,-36.391
Tanque d'Arca,AL,Ferro,-9.533,-36.429
Taquarana,AL,Ferro,-9.640,-36.492
São Miguel dos Campos,AL,Argila,-9.812,-36.095
Craíbas,AL,Ferro,-9.677,-36.749
Arapiraca,AL,Feldspato,-9.742,-36.603
Arapiraca,AL,Quartzo,-9.718,-36.600
Limoeiro de Anadia,AL,Vermiculita,-9.725,-36.525
Limoeiro de Anadia,AL,Feldspato,-9.718,-36.550
Arapiraca,AL,Vermiculita,-9.702,-36.663
Cacimbinhas,AL,Titânio,-9.525,-36.864
Palmeira dos Índios,AL,Cobre,-9.450,-36.636
Palmeira dos Índios,AL,Cobre,-9.417,-36.559
Porto da Folha,SE,Granito,-9.842,-37.466
Porto da Folha,SE,Flúor,-9.781,-37.421
Poção,PE,Titânio,-8.184,-36.684
Porto da Folha,SE,Flúor,-9.913,-37.325
Belo Monte,AL,Mármore,-9.746,-37.199
Batalha,AL,Mármore,-9.701,-37.174
Campo Grande,AL,Asbesto,-9.995,-36.761
Palmeira dos Índios,AL,Salgema,-9.395,-36.722
Serra da Saudade,MG,Fósforo,-19.268,-45.768
Quartel Geral,MG,Fósforo,-19.245,-45.755
Arapiraca,AL,Vermiculita,-9.747,-36.575
Limoeiro de Anadia,AL,"Berílio, Feldspato, Muscovita, Quartzo hialino (Cristal de rocha), Turmalina, Água marinha",-9.698,-36.557
Limoeiro de Anadia,AL,"Feldspato, Muscovita, Quartzo hialino (Cristal de rocha), Água marinha",-9.702,-36.556
Limoeiro de Anadia,AL,"Berílio, Feldspato",-9.709,-36.565
Ipirá,BA,Fósforo,-11.949,-39.698
Atalaia,AL,Areia,-9.516,-36.023
Palmeira dos Índios,AL,Areia,-9.495,-36.650
Pilar,AL,Areia,-9.601,-36.009
Arapiraca,AL,"Feldspato, Quartzo",-9.740,-36.621
Arapiraca,AL,Vermiculita,-9.681,-36.664
Igaci,AL,Titânio,-9.534,-36.829
Cedro do Abaeté,MG,Fósforo,-19.160,-45.703
Cedro do Abaeté,MG,Fósforo,-19.049,-45.682
Felixlândia,MG,"Dolomito, Fósforo",-18.603,-44.864
Felixlândia,MG,"Dolomito, Fósforo",-18.509,-44.925
Felixlândia,MG,"Dolomito, Fósforo",-18.675,-44.931
Limoeiro de Anadia,AL,"Feldspato, Muscovita",-9.700,-36.569
Lagamar,MG,Fósforo,-18.277,-46.861
Patos de Minas,MG,Fósforo,-18.298,-46.878
Gararu,SE,Mármore,-9.910,-37.194
Pedra,PE,Ametista,-8.500,-36.950
Sertânia,PE,Fósforo,-8.358,-37.120
Sertânia,PE,Fósforo,-8.000,-37.434
Sertânia,PE,Mármore,-8.268,-37.236
Zabelê,PB,Mármore,-8.077,-37.094
Zabelê,PB,Mármore,-8.061,-37.063
Sertânia,PE,Mármore,-8.334,-37.200
Sertânia,PE,Mármore,-8.050,-37.434
Sertânia,PE,Grafita,-8.217,-37.250
Sertânia,PE,Titânio,-8.217,-37.234
Sertânia,PE,Estanho,-8.267,-37.250
Sertânia,PE,"Asbesto, Talco",-8.050,-37.321
Alagoinha,PE,Rocha ornamental,-8.452,-36.731
Lapão,BA,Fósforo,-11.392,-41.817
Capela do Alto Alegre,BA,Fósforo,-11.756,-39.695
Belo Monte,AL,Calcário,-9.789,-37.260
Capela,AL,Brita,-9.399,-36.125
Atalaia,AL,Brita,-9.575,-36.006
Sertânia,PE,Argila,-8.413,-37.172
Sertânia,PE,Argila,-8.331,-37.308
Carmo do Paranaíba,MG,Fósforo,-18.862,-46.272
Presidente Olegário,MG,Fósforo,-18.562,-46.347
Sertânia,PE,Berílio,-8.000,-37.300
Sertânia,PE,Talco,-8.367,-37.217
Porto da Folha,SE,Mármore,-9.910,-37.331
Porto da Folha,SE,Mármore,-9.903,-37.322
Belo Monte,AL,Mármore,-9.784,-37.253
Jacaré dos Homens,AL,Mármore,-9.678,-37.206
Batalha,AL,Mármore,-9.696,-37.161
Olho d'Água das Flores,AL,Quartzo,-9.500,-37.259
Santana do Ipanema,AL,Ametista,-9.359,-37.250
Batalha,AL,Cobre,-9.658,-37.128
Águas Belas,PE,Mármore,-9.150,-37.099
Águas Belas,PE,Cobre,-9.180,-37.089
Águas Belas,PE,Mármore,-9.222,-37.067
Gavião,BA,Fósforo,-11.492,-39.853
Juazeiro,BA,Fósforo,-9.476,-40.486
São Sebastião do Umbuzeiro,PB,Rocha ornamental,-8.186,-37.097
Sanharó,PE,Argila,-8.367,-36.611
Porto da Folha,SE,Chumbo,-9.910,-37.318
Porto da Folha,SE,Cobre,-9.773,-37.434
Itambé,BA,Fósforo,-15.182,-40.566
Patos de Minas,MG,Fósforo,-18.543,-46.280
Pedra,PE,Molibdênio,-8.484,-36.950
Craíbas,AL,Ferro,-9.600,-36.880
Limoeiro de Anadia,AL,"Berílio, Feldspato, Muscovita, Quartzo, Água marinha",-9.710,-36.561
Sertânia,PE,Granito,-8.188,-37.189
Sertânia,PE,Ferro,-8.130,-37.462
Pedra,PE,Ferro,-8.500,-36.917
Cedro do Abaeté,MG,Fósforo,-19.134,-45.723
Cedro do Abaeté,MG,Fósforo,-19.145,-45.704
Cedro do Abaeté,MG,Fósforo,-19.179,-45.700
Cedro do Abaeté,MG,Fósforo,-19.072,-45.696
Cedro do Abaeté,MG,Fósforo,-19.113,-45.713
Cedro do Abaeté,MG,Fósforo,-19.063,-45.667
Quartel Geral,MG,Fósforo,-19.298,-45.797
Felixlândia,MG,"Dolomito, Fósforo",-18.699,-44.815
Patos de Minas,MG,Fósforo,-18.365,-46.925
Sertânia,PE,Córindon,-8.117,-37.467
Patrocínio,MG,Fósforo,-19.011,-46.786
Irecê,BA,Fósforo,-11.359,-41.805
Irecê,BA,Fósforo,-11.362,-41.778
Irecê,BA,Fósforo,-11.366,-41.776
Irecê,BA,Fósforo,-11.387,-41.785
Lapão,BA,Fósforo,-11.387,-41.821
Lapão,BA,Fósforo,-11.402,-41.817
Irecê,BA,Fósforo,-11.328,-41.767
Irecê,BA,Fósforo,-11.316,-41.795
Irecê,BA,Fósforo,-11.323,-41.767
Lapão,BA,Fósforo,-11.584,-41.742
Juazeiro,BA,Fósforo,-9.675,-40.573
Juazeiro,BA,Fósforo,-9.572,-40.574
Cafarnaum,BA,Fósforo,-11.792,-41.545
Pé de Serra,BA,"Fósforo, Vermiculita",-11.884,-39.689
Pé de Serra,BA,Fósforo,-11.784,-39.675
Nova Fátima,BA,Fósforo,-11.602,-39.741
Gavião,BA,Fósforo,-11.563,-39.761
Gavião,BA,Fósforo,-11.550,-39.763
Gavião,BA,Fósforo,-11.542,-39.692
Gavião,BA,Fósforo,-11.555,-39.789
Gavião,BA,Fósforo,-11.547,-39.793
Gavião,BA,Fósforo,-11.496,-39.888
Capim Grosso,BA,Fósforo,-11.270,-39.953
Ouro Branco,AL,Feldspato,-9.159,-37.417
Sertânia,PE,"Asbesto, Talco",-8.370,-37.163
Alagoinha,PE,Granito,-8.489,-36.811
Quartel Geral,MG,Fósforo,-19.265,-45.760
São Miguel dos Campos,AL,"Calcário, Folhelho",-9.762,-36.156
Arapiraca,AL,Vermiculita,-9.723,-36.634
Paulo Jacinto,AL,Bário,-9.414,-36.450
Taquarana,AL,Molibdênio,-9.564,-36.525
Zabelê,PB,Mármore,-8.088,-37.083
Sertânia,PE,Grafita,-8.102,-37.467
Sertânia,PE,Asbesto,-8.025,-37.375
Limoeiro de Anadia,AL,"Feldspato, Quartzo hialino (Cristal de rocha)",-9.711,-36.560
Cedro do Abaeté,MG,Fósforo,-19.120,-45.716
Limoeiro de Anadia,AL,"Berílio, Feldspato, Muscovita, Quartzo hialino (Cristal de rocha)",-9.695,-36.559
Taquara,RS,Arenito,-29.698,-50.896
Parobé,RS,Arenito,-29.697,-50.850
Parobé,RS,Arenito,-29.643,-50.835
Parobé,RS,Arenito,-29.644,-50.833
Parobé,RS,Arenito,-29.697,-50.897
Parobé,RS,Arenito,-29.697,-50.897
Parobé,RS,Arenito,-29.676,-50.880
Itaqui,RS,Ágata,-29.099,-55.567
Gravataí,RS,Argila,-29.867,-51.071
Quaraí,RS,"Calcedônia gemológica, Ágata",-30.242,-56.300
Triunfo,RS,Rocha ornamental,-29.958,-51.387
Glorinha,RS,Rocha ornamental,-29.893,-50.797
Sapucaia do Sul,RS,Rocha ornamental,-29.851,-51.120
São Leopoldo,RS,Rocha ornamental,-29.747,-51.197
Portão,RS,Rocha ornamental,-29.717,-51.277
Ivoti,RS,Rocha ornamental,-29.578,-51.159
Estância Velha,RS,Rocha ornamental,-29.639,-51.186
Quaraí,RS,Ametista,-30.389,-56.284
Quaraí,RS,"Ametista, Calcedônia gemológica, Quartzo hialino (Cristal de rocha), Ágata",-30.390,-56.479
Abadia dos Dourados,MG,Diamante,-18.446,-47.446
Lagoão,RS,"Calcedônia, Calcedônia gemológica, Citrino, Quartzo hialino (Cristal de rocha)",-29.217,-52.802
São Francisco de Paula,RS,Basalto,-29.221,-50.447
Nova Bréscia,RS,"Quartzo hialino (Cristal de rocha), Zeólita, Ágata",-29.222,-52.031
Goiás,GO,Ouro,-15.916,-50.058
Sete de Setembro,RS,Basalto,-28.160,-54.434
Júlio de Castilhos,RS,Basalto,-29.288,-53.930
Niquelândia,GO,Ouro,-14.549,-48.738
Carnaubais,RN,Calcário,-5.300,-36.800
Cabo de Santo Agostinho,PE,Areia,-8.255,-34.975
Cabo de Santo Agostinho,PE,Argila,-8.357,-35.012
Cabo de Santo Agostinho,PE,Argila,-8.260,-34.984
Cabo de Santo Agostinho,PE,Areia,-8.242,-35.056
Cabo de Santo Agostinho,PE,Areia,-8.251,-35.021
Cachoeira do Sul,RS,Calcário,-30.317,-53.302
Pantano Grande,RS,Calcário,-30.324,-52.278
Itapipoca,CE,Diatomita,-3.175,-39.509
Itapipoca,CE,Diatomita,-3.192,-39.629
Itaocara,RJ,Feldspato,-21.771,-42.175
Teresópolis,RJ,Areia,-22.319,-42.937
Teresópolis,RJ,Granito,-22.267,-42.778
Cachoeiras de Macacu,RJ,Gnaisse,-22.500,-42.668
Itaboraí,RJ,Areia,-22.707,-42.819
Parobé,RS,Arenito,-29.717,-50.871
Gravataí,RS,Argila,-29.905,-51.055
Canoas,RS,Argila,-29.928,-51.200
Nova Santa Rita,RS,Argila,-29.847,-51.277
Nova Santa Rita,RS,Argila,-29.845,-51.237
Corguinho,MS,Diamante,-19.718,-54.758
Corumbataí,SP,Fósforo,-22.235,-47.617
Erval Velho,SC,Zeólita,-27.291,-51.417
Salvador,BA,Calcário,-12.792,-38.673
Simões Filho,BA,Calcário,-12.794,-38.459
Salvador,BA,Calcário,-12.800,-38.521
Saubara,BA,Calcário,-12.813,-38.764
Salvador,BA,Calcário,-12.819,-38.522
Salvador,BA,Calcário,-12.823,-38.632
Salvador,BA,Calcário,-12.847,-38.479
Salinas da Margarida,BA,Calcário,-12.857,-38.756
Salvador,BA,Calcário,-12.864,-38.497
Salvador,BA,Calcário,-12.922,-38.490
Itaparica,BA,Calcário,-12.925,-38.680
Vera Cruz,BA,Calcário,-12.964,-38.703
Juazeiro,BA,Calcário,-9.275,-40.128
Itapetinga,BA,Calcário,-15.200,-40.108
Itambé,BA,Calcário,-15.221,-40.133
Itambé,BA,Calcário,-15.218,-40.133
São Francisco do Conde,BA,Gás natural,-12.656,-38.605
Vera Cruz,BA,Gás natural,-12.957,-38.627
Vera Cruz,BA,Gás natural,-13.050,-38.750
Santa Rita de Cássia,BA,Manganês,-11.009,-44.970
Formosa do Rio Preto,BA,Manganês,-11.035,-45.066
Formosa do Rio Preto,BA,Manganês,-11.058,-45.159
Formosa do Rio Preto,BA,Manganês,-11.093,-45.205
Formosa do Rio Preto,BA,Manganês,-11.098,-45.120
Formosa do Rio Preto,BA,Manganês,-11.166,-45.068
Riachão das Neves,BA,Manganês,-11.693,-44.898
Riachão das Neves,BA,Manganês,-11.738,-44.967
Barreiras,BA,Manganês,-11.810,-45.230
Barreiras,BA,Manganês,-11.857,-45.223
Barreiras,BA,Manganês,-11.867,-45.232
Barreiras,BA,Manganês,-11.868,-45.241
Barreiras,BA,Manganês,-11.870,-45.234
Barreiras,BA,Manganês,-11.873,-45.250
Barreiras,BA,Manganês,-11.952,-45.027
Ipupiara,BA,Manganês,-11.937,-42.438
Ipupiara,BA,Manganês,-11.894,-42.441
Ipupiara,BA,Manganês,-11.739,-42.361
Ibipeba,BA,Manganês,-11.592,-42.334
Formosa do Rio Preto,BA,Manganês,-11.117,-45.364
Formosa do Rio Preto,BA,Manganês,-11.118,-45.301
Formosa do Rio Preto,BA,Manganês,-11.131,-45.324
Cocos,BA,Manganês,-14.298,-44.441
Catolândia,BA,Manganês,-12.293,-44.853
Catolândia,BA,Manganês,-12.309,-44.846
Angical,BA,Manganês,-12.024,-44.645
Santa Maria da Vitória,BA,Manganês,-13.191,-44.600
Correntina,BA,Manganês,-13.242,-44.653
Correntina,BA,Manganês,-13.191,-44.635
Correntina,BA,Manganês,-13.334,-44.566
Correntina,BA,Manganês,-13.342,-44.582
Correntina,BA,Manganês,-13.423,-44.495
Coribe,BA,Manganês,-13.770,-44.505
Coribe,BA,Manganês,-13.763,-44.466
Coribe,BA,Manganês,-13.714,-44.531
Santa Maria da Vitória,BA,Manganês,-13.171,-44.616
Correntina,BA,Manganês,-13.207,-44.631
Coribe,BA,Manganês,-13.831,-44.463
Coribe,BA,Manganês,-13.730,-44.488
Coribe,BA,Manganês,-13.792,-44.478
Correntina,BA,Manganês,-13.375,-44.584
São Desidério,BA,Manganês,-13.060,-44.700
Caetité,BA,Manganês,-14.202,-42.480
Ibitiara,BA,Quartzo hialino (Cristal de rocha),-12.573,-42.325
Ibitiara,BA,Quartzo hialino (Cristal de rocha),-12.525,-42.334
Brotas de Macaúbas,BA,Quartzo hialino (Cristal de rocha),-12.005,-42.484
Glória,BA,Linhito,-9.037,-38.436
Sertânia,PE,Mármore,-8.267,-37.559
Betânia,PE,Calcário,-8.317,-38.100
Mirandiba,PE,Grafita,-8.050,-38.775
Petrolândia,PE,Bário,-8.642,-38.559
Petrolândia,PE,Bário,-8.606,-38.525
Mirandiba,PE,Talco,-8.175,-38.625
Mirandiba,PE,Talco,-8.187,-38.586
Belém de São Francisco,PE,Talco,-8.600,-38.736
Petrolândia,PE,Diamante,-8.925,-38.325
Floresta,PE,Feldspato,-8.556,-38.209
Floresta,PE,Mica,-8.287,-38.370
