uf;latitude;longitude;substancia
GO;-15916;-50058;Ouro
GO;-14549;-48738;Ouro
RN;-5835;-36130;Ouro
RR;2804;-61832;Ouro
RR;3395;-61973;Ouro
RR;3400;-62032;Ouro
RR;3452;-62332;Ouro
RO;-10373;-65364;Ouro
RO;-9487;-62340;Ouro
RO;-9263;-64651;Ouro
RO;-9336;-64733;Ouro
PA;-5500;-57541;Ouro
PA;-5725;-57311;Ouro
PA;-5536;-57172;Ouro
PA;-5599;-57068;Ouro
PA;-5545;-57068;Ouro
PA;-5856;-57032;Ouro
PA;-680;-56916;Ouro
PA;-6867;-56767;Ouro
PA;-5468;-56873;Ouro
PA;-6850;-56582;Ouro
RR;1459;-59965;Ouro
AM;-2173;-68603;Ouro
MT;-16168;-56460;Ouro
PA;-8117;-54965;Ouro
BA;-11787;-42585;Ouro
BA;-11566;-42486;Ouro
BA;-11433;-42505;Ouro
BA;-11425;-42551;Ouro
BA;-11478;-44973;Ouro
BA;-14159;-42595;Ouro
BA;-13482;-42032;Ouro
BA;-13239;-42134;Ouro
BA;-12839;-42173;Ouro
BA;-12989;-42211;Ouro
BA;-12800;-42203;Ouro
BA;-12875;-42192;Ouro
BA;-12775;-42211;Ouro
BA;-11367;-39000;Ouro
BA;-10967;-39302;Ouro
BA;-10887;-40436;Ouro
BA;-10889;-40399;Ouro
BA;-10845;-40417;Ouro
BA;-10923;-39275;Ouro
BA;-11192;-40510;Ouro
BA;-11291;-40518;Ouro
BA;-13148;-41785;Ouro
BA;-13313;-41811;Ouro
BA;-13578;-41820;Ouro
BA;-13605;-41953;Ouro
BA;-13712;-41613;Ouro
BA;-13414;-42189;Ouro
PA;-7902;-56581;Ouro
PA;-7305;-56676;Ouro
CE;-4408;-40734;Ouro
CE;-4128;-40569;Ouro
CE;-4039;-40439;Ouro
BA;-10757;-40420;Ouro
BA;-10783;-40420;Ouro
BA;-10953;-40456;Ouro
BA;-10745;-40384;Ouro
BA;-10725;-40386;Ouro
BA;-10775;-40478;Ouro
BA;-10831;-40484;Ouro
BA;-10900;-40436;Ouro
BA;-10950;-39282;Ouro
BA;-10937;-39286;Ouro
BA;-10924;-39306;Ouro
BA;-10920;-39327;Ouro
BA;-10959;-39225;Ouro
BA;-10988;-39288;Ouro
BA;-10944;-39519;Ouro
BA;-11059;-40478;Ouro
BA;-11056;-40495;Ouro
BA;-11042;-40496;Ouro
BA;-11007;-40477;Ouro
BA;-11038;-40478;Ouro
BA;-11285;-40516;Ouro
BA;-11248;-40525;Ouro
